SCHOOLWIDE PUPIL-TEACHER RATIO,SCHOOL CODE
8.9,M015
10.5,M019
12.7,M020
9.6,M034
8.1,M063
9.8,M064
13.6,M110
11.7,M134
9.1,M137
11.4,M140
11.1,M142
15.7,M184
12.1,M188
12.7,M292
12.8,M301
12.3,M315
9.3,M332
11.9,M345
12.4,M361
14.1,M363
14.6,M364
12.4,M378
13.2,M448
12.6,M450
11.0,M509
16.8,M515
17.0,M539
16.7,M650
15.4,M696
12.6,M839
14.2,M001
12.8,M002
15.3,M003
15.2,M006
11.6,M011
13.0,M033
14.5,M040
14.6,M041
14.9,M042
12.4,M051
14.0,M059
18.4,M077
14.6,M089
16.6,M104
11.3,M111
15.9,M114
14.7,M116
15.7,M124
12.4,M126
18.3,M130
15.3,M131
15.2,M150
13.2,M151
15.3,M158
16.3,M167
14.7,M183
11.7,M198
16.7,M212
12.0,M217
16.4,M225
16.7,M234
16.5,M255
16.3,M260
11.7,M276
13.0,M288
17.9,M289
15.4,M290
12.0,M294
14.5,M296
15.2,M298
14.5,M300
10.8,M303
12.9,M305
13.5,M308
15.9,M312
12.5,M313
15.5,M316
12.1,M374
12.3,M392
11.7,M393
15.1,M394
15.1,M397
12.7,M399
19.1,M400
17.2,M407
18.7,M408
18.8,M411
15.6,M412
16.1,M413
15.6,M414
16.4,M416
15.9,M418
14.7,M419
19.7,M420
13.7,M422
15.6,M425
14.1,M429
16.2,M439
15.8,M440
18.0,M442
11.5,M449
14.4,M459
16.5,M460
22.1,M475
18.0,M489
17.4,M500
19.5,M519
16.2,M520
15.6,M529
15.1,M531
14.8,M542
11.9,M543
16.4,M544
11.5,M545
13.1,M550
19.0,M575
14.1,M580
12.1,M586
18.5,M600
13.4,M605
15.9,M615
16.8,M620
16.4,M625
17.7,M630
14.9,M655
12.9,M690
10.4,M896
13.3,M009
10.7,M044
19.5,M054
13.4,M075
14.2,M076
15.0,M084
17.1,M087
11.9,M145
13.3,M149
14.4,M163
12.0,M165
15.3,M166
11.8,M180
10.4,M185
12.9,M191
16.5,M199
9.6,M208
9.6,M241
9.3,M242
14.3,M243
17.7,M245
7.3,M246
12.1,M247
9.9,M250
11.5,M256
12.3,M258
20.8,M283
14.8,M299
16.8,M307
13.0,M333
20.3,M334
8.8,M402
10.5,M403
12.4,M404
12.0,M415
12.7,M421
16.7,M470
20.7,M479
18.5,M485
12.7,M492
17.7,M494
12.7,M505
16.7,M541
12.2,M859
15.4,M860
15.2,M862
13.7,M007
21.6,M012
10.9,M013
10.2,M037
9.6,M038
12.3,M045
10.3,M050
13.8,M057
11.6,M072
14.1,M083
14.6,M096
10.2,M101
8.5,M102
12.9,M108
5.9,M112
7.5,M117
8.5,M146
11.3,M155
12.8,M171
16.1,M182
8.4,M206
17.6,M224
10.3,M372
10.2,M375
10.1,M377
8.1,M381
10.4,M406
12.7,M409
21.6,M435
12.5,M495
13.2,M555
16.5,M610
14.7,M635
13.1,M680
10.5,M695
14.8,M825
10.5,M964
6.5,M030
11.4,M036
12.7,M046
8.9,M092
12.7,M123
