BOROUGH,DISTRICT,SCHOOL ID,SCHOOL NAME
M,1,015,P.S. 015 ROBERTO CLEMENTE
M,1,019,P.S. 019 ASHER LEVY
M,1,020,P.S. 020 ANNA SILVER
M,1,034,P.S. 034 FRANKLIN D. ROOSEVELT
M,1,063,P.S. 063 WILLIAM MCKINLEY
M,1,064,P.S. 064 ROBERT SIMON
M,1,110,P.S. 110 FLORENCE NIGHTINGALE
M,1,134,P.S. 134 HENRIETTA SZOLD
M,1,137,P.S. 137 JOHN L. BERNSTEIN
M,1,140,P.S. 140 NATHAN STRAUS
M,1,142,P.S. 142 AMALIA CASTRO
M,1,184,P.S. 184M SHUANG WEN
M,1,188,P.S. 188 THE ISLAND SCHOOL
M,1,292,HENRY STREET SCHOOL FOR INTERNATIONAL ST
M,1,301,TECHNOLOGY ARTS AND SCIENCES STUDIO
M,1,315,THE EAST VILLAGE COMMUNITY SCHOOL
M,1,332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL
M,1,345,COLLABORATIVE ACADEMY OF SCIENCE TECHNOL
M,1,361,CHILDREN'S WORKSHOP SCHOOL
M,1,363,NEIGHBORHOOD SCHOOL
M,1,364,EARTH SCHOOL
M,1,378,SCHOOL FOR GLOBAL LEARNERS
M,1,448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL
M,1,450,EAST SIDE COMMUNITY HIGH SCHOOL
M,1,509,MARTA VALLE SECONDARY SCHOOL
M,1,515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL
M,1,539,NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY
M,1,650,CASCADES HIGH SCHOOL
M,1,696,BARD HIGH SCHOOL EARLY COLLEGE
M,1,839,TOMPKINS SQUARE MIDDLE SCHOOL
M,2,001,P.S. 001 ALFRED E. SMITH
M,2,002,P.S. 002 MEYER LONDON
M,2,003,P.S. 003 CHARRETTE SCHOOL
M,2,006,P.S. 006 LILLIE D. BLAKE
M,2,011,P.S. 011 WILLIAM T. HARRIS
M,2,033,P.S. 033 CHELSEA PREP
M,2,040,P.S. 040 AUGUSTUS SAINT-GAUDENS
M,2,041,P.S. 041 GREENWICH VILLAGE
M,2,042,P.S. 042 BENJAMIN ALTMAN
M,2,051,P.S. 051 ELIAS HOWE
M,2,059,P.S. 059 BEEKMAN HILL INTERNATIONAL
M,2,077,P.S. 77 LOWER LAB SCHOOL
M,2,089,P.S. 89
M,2,104,J.H.S. 104 SIMON BARUCH
M,2,111,P.S. 111 ADOLPH S. OCHS
M,2,114,EAST SIDE MIDDLE SCHOOL
M,2,116,P.S. 116 MARY LINDLEY MURRAY
M,2,124,P.S. 124 YUNG WING
M,2,126,P.S. 126 JACOB AUGUST RIIS
M,2,130,P.S. 130 HERNANDO DE SOTO
M,2,131,M.S. 131
M,2,150,P.S. 150
M,2,151,Yorkville Community School
M,2,158,P.S. 158 BAYARD TAYLOR
M,2,167,J.H.S. 167 ROBERT F. WAGNER
M,2,183,P.S. 183 ROBERT L. STEVENSON
M,2,198,P.S. 198 ISADOR E. IDA STRAUS
M,2,212,P.S. 212 MIDTOWN WEST
M,2,217,P.S./I.S. 217 ROOSEVELT ISLAND
M,2,225,ELLA BAKER SCHOOL
M,2,234,P.S. 234 INDEPENDENCE SCHOOL
M,2,255,M.S. 255 SALK SCHOOL OF SCIENCE
M,2,260,M.S. 260 CLINTON SCHOOL WRITERS & ARTIST
M,2,276,BATTERY PARK CITY SCHOOL
M,2,288,FOOD AND FINANCE HIGH SCHOOL
M,2,289,I.S. 289
M,2,290,P.S. 290 MANHATTAN NEW SCHOOL
M,2,294,ESSEX STREET ACADEMY
M,2,296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT
M,2,298,PACE HIGH SCHOOL
M,2,300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,"
M,2,303,THE FACING HISTORY SCHOOL
M,2,305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE"
M,2,308,LOWER MANHATTAN ARTS ACADEMY
M,2,312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLL
M,2,313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITION"
M,2,316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,"
M,2,374,GRAMERCY ARTS HIGH SCHOOL
M,2,392,MANHATTAN BUSINESS ACADEMY
M,2,393,BUSINESS OF SPORTS SCHOOL
M,2,394,EMMA LAZARUS HIGH SCHOOL
M,2,397,SPRUCE STREET SCHOOL
M,2,399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY
